Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Connecticut United,Normal,Shot,58,50,15,26,-,-,11/24/2024,Boston Bolts U14 MLS Next,12:30
Connecticut United,First Time,Blocked,58,59,18,29,-,-,11/24/2024,Boston Bolts U14 MLS Next,12:54
Connecticut United,Normal,Blocked,59,3,11,49,-,-,11/24/2024,Boston Bolts U14 MLS Next,12:58
Connecticut United,Normal,Shot,59,10,7,37,-,-,11/24/2024,Boston Bolts U14 MLS Next,15:14
Boston Bolts U14 MLS Next,Normal,SOT,59,17,94,52,-,-,11/24/2024,Boston Bolts U14 MLS Next,16:44
Boston Bolts U14 MLS Next,Normal,SOT,59,33,86,42,-,-,11/24/2024,Boston Bolts U14 MLS Next,16:48
Boston Bolts U14 MLS Next,First Time,Shot,59,41,79,28,-,-,11/24/2024,Boston Bolts U14 MLS Next,17:18
Boston Bolts U14 MLS Next,Header,Goal,59,49,98,50,-,-,11/24/2024,Boston Bolts U14 MLS Next,18:50
Connecticut United,First Time,SOT,59,55,7,26,-,-,11/24/2024,Boston Bolts U14 MLS Next,19:42
Boston Bolts U14 MLS Next,1 on 1,SOT,60,4,85,64,-,-,11/24/2024,Boston Bolts U14 MLS Next,25:50
Boston Bolts U14 MLS Next,Normal,SOT,60,11,90,56,-,-,11/24/2024,Boston Bolts U14 MLS Next,27:03
Boston Bolts U14 MLS Next,Normal,Shot,60,23,80,66,-,-,11/24/2024,Boston Bolts U14 MLS Next,28:44
Connecticut United,First Time,SOT,60,39,11,33,-,-,11/24/2024,Boston Bolts U14 MLS Next,32:24
Connecticut United,Header,Shot,60,47,5,53,-,-,11/24/2024,Boston Bolts U14 MLS Next,33:51
Boston Bolts U14 MLS Next,1 on 1,SOT,60,56,94,46,-,-,11/24/2024,Boston Bolts U14 MLS Next,35:19
Connecticut United,Normal,Blocked,61,6,11,37,-,-,11/24/2024,Boston Bolts U14 MLS Next,38:46
Boston Bolts U14 MLS Next,Normal,Shot,61,13,80,44,-,-,11/24/2024,Boston Bolts U14 MLS Next,40:10
Connecticut United,Volley,SOT Inside Post,61,21,18,52,-,-,11/24/2024,Boston Bolts U14 MLS Next,41:21
Connecticut United,First Time,Goal Inside Post,61,31,98,46,-,-,11/24/2024,Boston Bolts U14 MLS Next,41:24
Connecticut United,Normal,SOT,61,49,84,56,-,-,11/24/2024,Boston Bolts U14 MLS Next,48:46
Connecticut United,Normal,Shot,61,57,88,55,-,-,11/24/2024,Boston Bolts U14 MLS Next,51:12
Connecticut United,First Time,Blocked,62,5,84,55,-,-,11/24/2024,Boston Bolts U14 MLS Next,51:47
Connecticut United,Normal,Shot,62,11,84,64,-,-,11/24/2024,Boston Bolts U14 MLS Next,54:26
Connecticut United,Header,SOT Inside Post,62,19,96,44,-,-,11/24/2024,Boston Bolts U14 MLS Next,56:19
Boston Bolts U14 MLS Next,Volley,Shot,62,29,9,45,-,-,11/24/2024,Boston Bolts U14 MLS Next,65:35
Connecticut United,Normal,Blocked,62,36,81,64,-,-,11/24/2024,Boston Bolts U14 MLS Next,70:26
Connecticut United,Normal,SOT,62,44,81,28,-,-,11/24/2024,Boston Bolts U14 MLS Next,73:39
Boston Bolts U14 MLS Next,Normal,SOT,62,54,10,67,-,-,11/24/2024,Boston Bolts U14 MLS Next,77:23
Boston Bolts U14 MLS Next,First Time,Shot,63,2,1,35,-,-,11/24/2024,Boston Bolts U14 MLS Next,77:25
Boston Bolts U14 MLS Next,Volley,Shot,63,14,9,44,-,-,11/24/2024,Boston Bolts U14 MLS Next,78:04
Connecticut United,Normal,Blocked,63,23,92,32,-,-,11/24/2024,Boston Bolts U14 MLS Next,80:03
Connecticut United,Normal,SOT Inside Post,63,32,79,42,-,-,11/24/2024,Boston Bolts U14 MLS Next,80:25
Connecticut United,FK,SOT,63,37,83,37,-,-,11/24/2024,Boston Bolts U14 MLS Next,82:34
Boston Bolts U14 MLS Next,FK,Shot,63,43,15,53,-,-,11/24/2024,Boston Bolts U14 MLS Next,84:13
