Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time,
Cedar Star,First Time,Goal Inside Post,7,5,2,42,-,-,11/16/2024,Boston Bolts U14 MLS Next,04:21,
Boston Bolts U14 MLS Next,Normal,Shot,1,20,75,30,-,-,11/16/2024,Boston Bolts U14 MLS Next,05:59,
Boston Bolts U14 MLS Next,FK,Shot,1,26,72,41,-,-,11/16/2024,Boston Bolts U14 MLS Next,10:51,
Cedar Star,Volley,SOT Inside Post,1,39,9,43,-,-,11/16/2024,Boston Bolts U14 MLS Next,12:29,
Cedar Star,First Time,Blocked,4,20,3,42,-,-,11/16/2024,Boston Bolts U14 MLS Next,12:30,
Boston Bolts U14 MLS Next,First Time,Blocked,5,0,95,57,-,-,11/16/2024,Boston Bolts U14 MLS Next,13:19,
Boston Bolts U14 MLS Next,First Time,SOT,5,13,87,69,-,-,11/16/2024,Boston Bolts U14 MLS Next,13:48,
Cedar Star,Normal,Blocked,5,23,14,55,-,-,11/16/2024,Boston Bolts U14 MLS Next,29:28,
Boston Bolts U14 MLS Next,First Time,Blocked,5,31,87,42,-,-,11/16/2024,Boston Bolts U14 MLS Next,38:56,
Cedar Star,Normal,SOT Inside Post,5,49,87,55,-,-,11/16/2024,Boston Bolts U14 MLS Next,41:29,
Boston Bolts U14 MLS Next,Volley,SOT,5,57,4,42,-,-,11/16/2024,Boston Bolts U14 MLS Next,51:53,
Cedar Star,Normal,Goal Far Post,6,5,87,60,-,-,11/16/2024,Boston Bolts U14 MLS Next,53:15,
Cedar Star,1 on 1,Shot,6,21,91,40,-,-,11/16/2024,Boston Bolts U14 MLS Next,55:59,
Cedar Star,Normal,SOT,6,30,89,23,-,-,11/16/2024,Boston Bolts U14 MLS Next,56:28,
Cedar Star,Normal,SOT Inside Post,6,38,80,49,-,-,11/16/2024,Boston Bolts U14 MLS Next,58:17,
Cedar Star,First Time,SOT,6,52,91,64,-,-,11/16/2024,Boston Bolts U14 MLS Next,59:38,
Cedar Star,Normal,Blocked,7,0,86,60,-,-,11/16/2024,Boston Bolts U14 MLS Next,60:51,
Cedar Star,Volley,SOT,7,9,91,68,-,-,11/16/2024,Boston Bolts U14 MLS Next,60:58,
Cedar Star,Normal,Shot,7,18,89,29,-,-,11/16/2024,Boston Bolts U14 MLS Next,62:29,
Cedar Star,FK,Shot,7,24,81,33,-,-,11/16/2024,Boston Bolts U14 MLS Next,69:16,
Cedar Star,First Time,SOT,7,33,88,62,-,-,11/16/2024,Boston Bolts U14 MLS Next,73:22,
Cedar Star,Volley,SOT,7,40,82,41,-,-,11/16/2024,Boston Bolts U14 MLS Next,77:30,
Cedar Star,Normal,SOT,7,47,83,44,-,-,11/16/2024,Boston Bolts U14 MLS Next,78:31,
