Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U19 MLS Next,Header,SOT,49,7,8,51,-,-,11/24/2024,Boston Bolts U19 MLS Next,11:11
Boston Bolts U19 MLS Next,First Time,SOT,49,15,34,46,-,-,11/24/2024,Boston Bolts U19 MLS Next,16:22
Toronto,Normal,Blocked,49,22,84,30,-,-,11/24/2024,Boston Bolts U19 MLS Next,16:59
Boston Bolts U19 MLS Next,Header,SOT,49,29,8,42,-,-,11/24/2024,Boston Bolts U19 MLS Next,33:58
Toronto,Normal,Blocked,49,35,74,55,-,-,11/24/2024,Boston Bolts U19 MLS Next,38:11
Toronto,Volley,Shot,49,45,84,66,-,-,11/24/2024,Boston Bolts U19 MLS Next,40:41
Boston Bolts U19 MLS Next,First Time,Blocked,49,53,9,32,-,-,11/24/2024,Boston Bolts U19 MLS Next,43:24
Boston Bolts U19 MLS Next,Normal,Shot,50,5,7,76,-,-,11/24/2024,Boston Bolts U19 MLS Next,47:22
Toronto,First Time,SOT,50,14,11,69,-,-,11/24/2024,Boston Bolts U19 MLS Next,45:39
Toronto,Normal,Blocked,50,23,18,72,-,-,11/24/2024,Boston Bolts U19 MLS Next,46:24
Toronto,First Time,Goal,50,32,8,58,-,-,11/24/2024,Boston Bolts U19 MLS Next,48:32
Boston Bolts U19 MLS Next,Normal,Goal,50,40,86,47,-,-,11/24/2024,Boston Bolts U19 MLS Next,49:47
Boston Bolts U19 MLS Next,Volley,SOT,50,54,95,68,-,-,11/24/2024,Boston Bolts U19 MLS Next,51:49
Boston Bolts U19 MLS Next,Header,Goal,51,7,95,54,-,-,11/24/2024,Boston Bolts U19 MLS Next,52:57
Boston Bolts U19 MLS Next,Volley,Shot,51,14,86,58,-,-,11/24/2024,Boston Bolts U19 MLS Next,58:36
Boston Bolts U19 MLS Next,Volley,Shot,51,19,78,34,-,-,11/24/2024,Boston Bolts U19 MLS Next,58:40
Toronto,First Time,Blocked,51,28,12,60,-,-,11/24/2024,Boston Bolts U19 MLS Next,77:12
Toronto,1 on 1,SOT,51,35,12,47,-,-,11/24/2024,Boston Bolts U19 MLS Next,81:58
Toronto,Normal,SOT,51,42,15,64,-,-,11/24/2024,Boston Bolts U19 MLS Next,82:02
Boston Bolts U19 MLS Next,Header,Shot,51,50,91,27,-,-,11/24/2024,Boston Bolts U19 MLS Next,83:04
Boston Bolts U19 MLS Next,Normal,Blocked,51,57,84,48,-,-,11/24/2024,Boston Bolts U19 MLS Next,87:17
